
 ,30 39, 
 , ,50 38 38 50 50 0 0 50 50 57 57 50 50 50 50 50 50 17 17 50 50 45 45 50 38 38 38 38 38 0 0 38 38 57 57 38 38 50 50 38 38 17 17 38 38 45 45 38 0 38 38 0 0 0 0 0 0 57 57 0 0 50 50 0 0 17 17 0 0 45 45 0 57 38 38 57 57 0 0 57 57 57 57 57 57 50 50 57 57 17 17 57 57 45 45 57 50 38 38 50 50 0 0 50 50 57 57 50 50 50 50 50 50 17 17 50 50 45 45 50 17 38 38 17 17 0 0 17 17 57 57 17 17 50 50 17 17 17 17 17 17 45 45 17
66 79 79 66,94 105 105 94 94 98 98 94 94 43 43 94 105 105 105 105 105 98 98 105 105 43 43 105 98 105 105 98 98 98 98 98 98 43 43 98, 





 ,19 40 40 19, 













 ,14 25 25 14 14 23 23 14 25 25 25 25 25 23 23 25, 











 ,19 70 70 19,46 15 15 46 46 23 23 46 46 50 50 46 46 28 28 46 15 15 15 15 15 23 23 15 15 50 50 15 15 28 28 15 23 15 15 23 23 23 23 23 50 23 23 28 28 23 50 15 15 50 50 23 50 50 50 50 50 28 28 50











 , ,51 15 15 51 51 19 19 51 51 69 69 51 51 73 73 51 15 15 15 15 15 19 19 15 15 69 69 15 15 73 73 15 19 15 15 19 19 19 19 19 69 19 19 73 73 19 69 15 15 69 69 19 69 69 69 69 69 73 73 69
















 ,14 80 80 14 14 69 69 14 14 4 4 14 80 80 80 80 80 69 69 80 80 4 4 80 69 80 80 69 69 69 69 69 69 4 4 69,104 115 115 104 104 120 120 104 104 127 127 104 104 60 60 104 115 115 115 115 115 120 120 115 115 127 127 115 115 60 60 115 120 115 115 120 120 120 120 120 120 127 127 120 120 60 60 120 127 115 115 127 127 120 120 127 127 127 127 127 127 60 60 127
 , ,45 8 8 45 45 54 54 45 45 63 63 45 45 71 71 45 45 72 72 45 45 74 74 45 45 59 59 45 8 8 8 8 8 54 54 8 8 63 63 8 8 71 71 8 8 72 72 8 8 74 74 8 8 59 59 8 54 8 8 54 54 54 54 54 54 63 63 54 54 71 71 54 54 72 72 54 54 74 74 54 54 59 59 54 63 8 8 63 63 54 54 63 63 63 63 63 63 71 71 63 63 72 72 63 63 74 74 63 59 63 71 8 8 71 71 54 54 71 71 63 63 71 71 71 71 71 71 72 72 71 71 74 74 71 59 71 72 8 8 72 72 54 54 72 72 63 63 72 72 71 71 72 72 72 72 72 72 74 74 72 59 72 74 8 8 74 74 54 54 74 74 63 63 74 74 71 71 74 74 72 72 74 74 74 74 74 59 74







 ,14 4 4 14, 
 ,69 35 35 69, 
 , ,6 19 19 6






 ,64 74 74 64 64 39 39 64 74 74 74 74 74 39 39 74,59 47

















 ,48 12 12 48 48 57 57 48 48 64 64 48 12 12 12 12 12 57 57 12 12 64 64 12 57 12 12 57 57 57 57 57 57 64 64 57, 






 , ,48 6 6 48 48 82 82 48 48 84 84 48 6 6 6 6 6 82 82 6 6 84 84 6 82 6 6 82 82 82 82 82 82 84






 ,37 17 17 37, 






 , ,15 57 57 27 27 57 15 15 15 15 15 27 27 15






 ,38 5 5 38, 

 ,100 96 96 43 43 96 100 100 100 100 100 43 43 100,72 80 80 72 72 85 85 72 80 80 80 80 85 80
 , ,57 51 49 51 57 57 57 57 57 49 49 57
 ,50 45 62 45 50 50 50 50 50 62 62 50, 



 ,34 29, 

 ,36 39, 












 ,19 32 32 19, 
88 54 54 88,69 6 6 71 71 6 76 6 6 81 81 6 69 69 69 69 69 71 71 69 69 76 76 69 69 81 81 69 71 69 69 71 71 71 71 71 71 76 76 71 71 81 81 71 76 69 69 76 76 71 71 76 76 76 76 76 76 81 81 76, 


 ,76 100 100 76 76 40 40 76 76 113 113 76 100 100 100 100 100 40 40 100 113 100 40 100 100 40 40 40 40 40 40 113 113 40, 




 ,38 22 22 38 38 55 55 38 22 22 22 22 22 55, 




 , ,18 7 7 18

 ,34 25, 

 ,45 33 33 45,50 57 57 50

 ,34 29 29 34 34 5 5 34 29 29 29 29 29 5 5 29, 








 ,66 76 76 66 66 78 78 66 66 88 88 66 49 66 76 76 76 76 76 78 78 76 76 88 88 76 76 49 49 76 78 76 76 78 78 78 78 78 88 78 78 49 49 78 88 76 76 88 88 78 88 88 88 88 88 49 49 88, 
 , ,40 52 52 40 40 18 18 40 52 52 52 52 52 18 18 52

 ,60 37, 
 ,19 21 21 19 19 81 81 19 19 27 27 19 19 97 97 19 19 90 90 19 19 42 42 19 21 21 21 21 21 81 81 21 21 27 27 21 21 97 97 21 21 90 90 21 21 42 42 21 81 21 21 81 81 81 81 81 81 27 27 81 81 97 97 81 81 90 90 81 81 42 42 81 27 21 21 27 27 81 81 27 27 27 27 27 27 97 97 27 27 90 90 27 27 42 42 27 97 21 21 97 97 81 81 97 97 27 27 97 97 97 97 97 97 90 97 42 42 97 90 21 21 90 90 81 81 90 90 27 27 90 97 90 90 90 90 90 90 42 42 90, 






 ,32 29, 
 , ,62 49 49 23 23 49 62 62 62 62 62 23 23 62



 ,110 101 101 110 110 69 69 110 110 74 74 110 110 83 83 110 87 110 101 101 101 101 101 69 69 101 101 74 74 101 101 83 83 101 87 101 69 101 101 69 69 69 69 69 69 74 69 83 69 87 87 69 74 101 101 74 69 74 74 74 74 74 74 83 83 74 74 87 87 74 83 101 101 83 69 83 83 74 74 83 83 83 83 83 83 87 87 83, 










 , ,18 16 16 18







 , ,33 38 38 33

 ,24 6 6 24,39 24 24 39







 , ,48 53 53 48 48 68 68 48 48 155 155 48 48 73 73 48 53 53 53 53 53 68 53 155 53 73 53 68 68 68 68 68 68 155 155 68 68 73 73 68 53 155 155 68 68 155 155 155 155 155 155 73 73 155









 , ,37 31 31 11 11 31 31 20 20 31 37 37 37 37 37 11 11 37 37 20 20 37 11 37 37 11 11 11 11 11 11 20 20 11




30 23, , 









 , ,42 127 127 42 42 111 111 42 42 69 69 42 127 127 127 127 127 111 111 127 127 69 69 127 111 127 127 111 111 111 111 111 111 69 69 111

 , ,58 10 58 74 74 58 58 25 58 87 87 58 58 41 41 58 58 44 44 58 10 10 10 10 10 74 74 10 10 25 25 10 10 87 87 10 10 41 41 10 10 44 44 10 74 10 10 74 74 74 74 74 74 25 25 74 74 87 87 74 74 41 41 74 74 44 44 74 25 10 10 25 25 74 74 25 25 25 25 25 25 87 87 25 25 41 41 25 25 44 44 25 87 10 10 87 87 74 74 87 87 25 25 87 87 87 87 87 87 41 41 87 87 44 44 87 41 10 10 41 41 74 74 41 41 25 25 41 41 87 87 41 41 41 41 41 41 44 44 41
 , ,51 60 51 57 57 51 51 30 30 51 51 36 36 51 60 60 60 60 60 57 57 60 60 30 30 60 60 36 36 60 57 60 60 57 57 57 57 57 57 30 30 57 57 36 36 57 30 60 60 30 30 57 57 30 30 30 30 30 30 36 36 30
 , ,55 9

 ,29 25, 

 , ,39 53 53 39 39 25 25 39 53 53 53 53 53 25 25 53





 ,43 97 97 76 76 97 43 43 43 43 43 76 76 43,26 28 28 26 26 1 1 26 28 28 28 28 28 1 1 28



 , ,43 10 10 43 43 18 18 43 43 48 48 43 43 55 55 43 43 57 57 43 35 43 10 10 10 10 10 18 18 10 10 48 48 10 10 55 55 10 10 57 57 10 10 35 35 10 18 10 10 18 18 18 18 18 18 48 48 18 18 55 55 18 57 18 18 35 35 18 48 10 10 48 48 18 18 48 48 48 48 48 48 55 55 48 48 57 57 48 48 35 35 48 55 10 10 55 55 18 18 55 55 48 48 55 55 55 55 55 55 57 57 55 55 35 35 55 57 10 10 57 57 18 57 48 48 57 57 55 55 57 57 57 57 57 57 35 35 57



 , ,15 17

 ,89 27 27 89,3 9 9 3 3 35 35 3 3 46 46 3 3 112 112 3 3 82 82 3 3 103 103 3 3 32 32 3 9 9 9 9 9 35 35 9 9 46 46 9 9 112 112 9 9 82 82 9 9 103 103 9 9 32 32 9 35 9 9 35 35 35 35 35 35 46 46 35 35 112 112 35 35 82 82 35 35 103 103 35 35 32 32 35 46 9 9 46 46 35 35 46 46 46 46 46 46 112 112 46 46 82 82 46 46 103 103 46 46 32 32 46 112 9 9 112 112 35 35 112 112 46 46 112 112 112 112 112 112 82 82 112 112 103 103 112 112 32 32 112 82 9 9 82 82 35 35 82 82 46 46 82 82 112 112 82 82 82 82 82 82 103 103 82 82 32 32 82 103 9 9 103 103 35 35 103 103 46 46 103 103 112 112 103 103 82 82 103 103 103 103 103 103 32 32 103
 , ,10 4 10 32 32 10 4 4 4 4 4 32 32 4
 , ,5 18 18 28 28 18 18 33 33 18 5 5 5 5 5 28 28 5 5 33 33 5 28 5 5 28 28 28 28 28 28 33 33 28






 ,61 6 6 61,25 22 22 25 25 85 85 25 25 95 95 25 22 22 22 22 85 22 22 95 95 22 85 22 85 85 85 85 95 85


 ,50 4 4 50 64 50 50 56 56 50 4 4 4 4 4 64 64 4 4 56 56 4 64 4 4 64 64 64 64 64 64 56 56 64, 
 , ,19 10 10 19 19 104 104 19 19 28 28 19 19 90 90 19 19 60 60 19 10 10 10 10 10 104 104 10 10 28 28 10 10 90 90 10 10 60 60 10 104 10 10 104 104 104 104 104 104 28 28 104 104 90 90 104 104 60 60 104 28 10 10 28 28 104 104 28 28 28 28 28 90 28 28 60 90 10 10 90 90 104 104 90 90 28 90 90 90 90 90 60 60 90

 ,1 72 72 1 1 28 28 1 1 62 62 1 1 69 69 1 72 72 72 72 72 28 28 72 72 62 62 72 69 72 28 72 72 28 28 28 28 28 28 62 62 28 69 28 62 72 72 62 62 28 28 62 62 62 62 62 62 69 69 62, 


















 , ,47 39 39 50 50 39 47 47 47 47 47 50 50 47


 , ,32 16 16 32




 ,79 74 74 79 69 79 74 74 74 74 69 74,53 55 55 53 53 33 33 53 53 82 82 53 55 55 55 55 55 33 33 55 55 82 82 55 33 55 55 33 33 33 33 33 33 82 82 33
 ,72 23 23 72 72 99 99 72 23 23 23 23 23 99 99 23, 
 ,23 48 48 58 58 48 48 42 42 48 23 23 23 23 23 58 58 23 23 42 42 23 58 23 23 58 58 58 58 58 58 42 42 58,45 30 30 45

 , ,76 64 64 7 7 64 64 12 12 64 76 76 76 76 76 7 7 76 76 12 12 76 7 76 76 7 7 7 7 7 7 12 12 7



 , ,71 22 71 24 71 26 71 28 71 30 71 32 22 22 22 22 22 24 24 22 22 26 26 22 22 28 28 22 22 30 30 22 22 32 32 22 24 22 22 24 24 24 24 24 24 26 26 24 24 28 28 24 24 30 30 24 24 32 32 24 26 22 22 26 26 24 24 26 26 26 26 26 26 28 28 26 26 30 30 26 26 32 32 26 28 22 22 28 28 24 24 28 28 26 26 28 28 28 28 28 28 30 30 28 28 32 32 28 30 22 22 30 30 24 24 30 30 26 26 30 30 28 28 30 30 30 30 30 30 32 32 30









 ,44 1 1 44 44 46 46 44 44 58 58 44 1 1 1 1 1 46 46 1 1 58 58 1 46 1 1 46 46 46 46 46 46 58, 




 ,15 22, 


 , ,29 6 29 18 18 29 6 6 6 6 6 18 18 6
 , ,11 25 25 11 11 15 15 11 11 17 17 11 11 50 50 11 25 25 25 25 25 15 15 25 25 17 17 25 25 50 50 25 15 25 25 15 15 15 15 15 15 17 17 15 15 50 50 15 17 25 25 17 17 15 15 17 17 17 17 17 17 50 50 17




 ,54 66 54 44 44 54 66 66 66 66 66 44 44 66,48 36 36 48

 ,46 52 46 65 46 72 72 46 52 52 52 52 52 65 65 52 52 72 72 52 65 52 52 65 65 65 65 65 65 72 72 65,53 15 15 53 53 68 68 53 53 38 38 53 15 15 15 15 15 68 68 15 15 38 38 15 68 15 15 68 68 68 68 68 68 38 38 68









 ,0 73 73 0 0 28 28 0 0 73 73 0 73 73 73 73 73 28 28 73 73 73 73 73 28 73 73 28 28 28 28 28 28 73 73 28,83 84 84 83 83 41 41 83 84 84 84 84 84 41 41 84
 ,47 75 75 47 47 31 31 47 75 75 75 75 75 31 31 75, 


















 , ,30 34 34 30 30 7 7 30 30 43 43 30 30 14 14 30 30 48 48 30 30 21 21 30 34 34 34 34 34 7 7 34 34 43 43 34 34 14 14 34 34 48 48 34 34 21 21 34 7 34 34 7 7 7 7 7 7 43 43 7 7 14 14 7 7 48 48 7 7 21 21 7 43 34 34 43 43 7 7 43 43 43 43 43 43 14 14 43 43 48 48 43 43 21 21 43 14 34 34 14 14 7 7 14 14 43 43 14 14 14 14 14 14 48 48 14 14 21 21 14 48 34 34 48 48 7 7 48 48 43 43 48 48 14 14 48 48 48 48 48 48 21 21 48







 ,48 36 36 48,12 63 63 12 12 29 29 12 63 63 63 63 63 29 29 63













 ,31 5 5 31 31 7 7 31 31 41 41 31 5 5 5 5 5 7 7 5 5 41 41 5 7 5 5 7 7 7 7 7 7 41 41 7,46 56 56 46 46 29 29 46 56 56 56 56 56 29 29 56
 , ,30 36 30 46 46 30 30 50 50 30 36 36 36 36 36 46 46 36 36 50 50 36 46 36 36 46 46 46 46 46 46 50 50 46





 ,31 6 31 11 6 6 6 6 6 11 11 6,45 24 24 45 45 26 26 45 24 24 24 24 24 26 26 24

0 39 39 0, , 

 ,35 54 54 35 35 7 7 35 54 54 54 54 54 7 7 54,15 17 17 15
 ,55 58 58 55 55 88 88 55 58 58 58 58 58 88 88 58,65 17 17 65
 ,54 61 61 54 54 70 70 54 48 54 61 61 61 61 61 70 70 61 61 48 48 61 70 61 61 70 70 70 70 70 70 48 48 70, 
 , ,0 29 29 0 0 33 33 0 0 17 17 0 29 29 29 29 29 33 33 29 29 17 17 29 33 29 29 33 33 33 33 33 33 17
 , ,47 50 50 47 47 52 52 47 71 47 50 50 50 50 50 52 52 50 50 71 71 50 52 50 50 52 52 52 52 52 52 71 71 52
 ,32 10 10 32 32 13 13 32 32 21 21 32 10 10 10 10 10 13 13 10 10 21 21 10 13 10 10 13 13 13 13 13 13 21 21 13, 
 , ,28 34 34 28 28 12 12 28 28 42 42 28 34 34 34 34 34 12 12 34 34 42 42 34 12 34 34 12 12 12 12 12 12 42 42 12



 ,45 8 8 45 45 57 57 45 45 74 74 45 8 8 8 8 8 57 57 8 8 74 74 8 57 8 8 57 57 57 57 57 57 74 74 57,18 68 68 18 18 37 37 18 68 68 68 68 68 37 37 68





 ,33 45 45 33 33 46 46 33 33 49 49 33 45 45 45 45 45 46 45 49 45 46 46 46 46 46 46 49 49 46, 


 ,38 4 38 6 38 48 38 65 65 38 4 4 4 4 4 6 6 4 4 48 48 4 4 65 65 4 6 4 4 6 6 6 6 6 6 48 48 6 6 65 65 6 48 4 4 48 48 6 6 48 48 48 48 48 48 65 65 48,23 74 74 23




 ,51 60 60 51 51 86 86 51 51 94 94 51 60 60 60 60 86 60 60 94 94 60 86 60 86 86 86 86 86 94 94 86,57 75 75 57 57 27 27 57 57 45 45 57 75 75 75 75 75 27 27 75 75 45 45 75 27 75 75 27 27 27 27 27 27 45 45 27
 ,19 84 84 19,70 21 21 70 70 23 23 70 70 37 37 70 70 98 98 70 21 21 21 21 21 23 21 37 37 21 21 98 98 21 21 23 23 23 23 23 23 37 37 23 23 98 98 23 37 21 21 37 37 23 23 37 37 37 37 37 37 98 98 37
 ,3 5 5 3 3 66 66 3 5 5 5 5 5 66 66 5,7 20 20 7 7 75 75 7 7 30 30 7 7 85 85 7 20 20 20 20 75 20 20 30 30 20 20 85 85 20 75 20 75 75 75 75 75 30 30 75 75 85 85 75 30 20 20 30 30 75 75 30 30 30 30 30 85 30
 ,38 40 40 38,49 25 25 49 49 27 27 49 49 37 37 49 25 25 25 25 25 27 27 25 25 37 37 25 27 25 25 27 27 27 27 27 27 37 37 27

 , ,29 21 21 34 34 21 21 10 10 21 29 29 29 29 29 34 34 29 29 10 10 29 34 29 29 34 34 34 34 34 34 10 10 34

52 53 53 52, ,55 14 55 74 55 78 55 43 43 55 14 14 14 14 14 74 74 14 14 78 78 14 14 43 43 14 74 14 14 74 74 74 74 74 74 78 78 74 74 43 43 74 78 14 14 78 78 74 74 78 78 78 78 78 78 43 43 78

 ,21 15, 
 ,50 65 65 50,20 60 60 20 20 28 28 20 60 60 60 60 60 28 28 60
 , ,16 18 18 16 16 50 50 16 16 24 24 16 16 40 40 16 18 18 18 18 18 50 50 18 18 24 24 18 18 40 40 18 50 18 18 50 50 50 50 50 50 24 24 50 50 40 40 50 24 18 18 24 24 50 50 24 24 24 24 24 24 40 40 24






 ,47 48 47 58 47 59 47 61 48 48 48 48 48 58 58 48 48 59 59 48 48 61 61 48 58 48 48 58 58 58 58 58 58 59 59 58 58 61 61 58 59 48 48 59 59 58 58 59 59 59 59 59 59 61 61 59, 






 , ,19 16 16 21 21 16 16 52 52 16 19 19 19 19 19 21 21 19 19 52 52 19 21 19 19 21 21 21 21 21 52 21
 ,37 55 55 59 59 55 37 37 37 37 37 59 59 37, 

 ,83 110 110 83,67 46 46 67

 ,49 31 31 60 60 31 49 49 49 49 60 49,1 21 21 1

 ,31 26 26 31 31 36 36 31 26 26 26 26 26 36, 
 ,59 52 52 69 69 52 52 80 80 52 59 59 59 59 59 69 69 59 59 80 80 59 69 59 59 69 69 69 69 69 69 80 80 69,25 76 76 25 25 38 38 25 76 76 76 76 76 38 38 76




 , ,15 33 33 15 15 64 15 56 39 15 33 33 33 33 33 64 64 33 33 56 56 33 33 39 39 33 64 33 33 64 64 64 64 64 64 56 56 64 64 39 39 64 56 33 33 56 56 64 64 56 56 56 56 56 56 39 39 56
 , ,15 56 15 64 15 33 33 15 15 39 39 15 56 56 56 56 56 64 64 56 56 33 33 56 56 39 39 56 64 56 56 64 64 64 64 64 64 33 33 64 64 39 39 64 33 56 56 33 33 64 64 33 33 33 33 33 33 39 39 33




























 ,23 6 6 23, 

 ,39 11 11 39 39 36 36 39 39 0 0 39 39 28 28 39 11 11 11 11 11 36 36 11 11 0 0 11 11 28 28 11 36 11 11 36 36 36 36 36 36 0 0 36 36 28 28 36 0 11 11 0 0 36 36 0 0 0 0 0 0 28 28 0, 
 ,67 22 22 67 67 84 84 67 67 44 44 67 67 51 51 67 67 33 33 67 67 96 96 67 67 102 102 67 22 22 22 22 22 84 84 22 22 44 44 22 22 51 51 22 22 33 33 22 22 96 96 22 22 102 102 22 84 22 22 84 84 84 84 84 84 44 44 84 84 51 51 84 84 33 33 84 84 96 96 84 84 102 102 84 44 22 22 44 44 84 84 44 44 44 44 44 44 51 51 44 44 33 33 44 44 96 96 44 44 102 102 44 51 22 22 51 51 84 84 51 51 44 44 51 51 51 51 51 51 33 33 51 51 96 96 51 51 102 102 51 33 22 22 33 33 84 84 33 33 44 44 33 33 51 51 33 33 33 33 33 33 96 96 33 33 102 102 33 96 22 22 96 96 84 84 96 96 44 44 96 96 51 51 96 96 33 33 96 96 96 96 96 96 102 102 96, 
 ,51 65 65 51 51 56 56 51 51 13 13 51 51 62 62 51 65 65 65 65 65 56 56 65 65 13 13 65 65 62 62 65 56 65 65 56 56 56 56 56 56 13 56 62 13 65 65 13 56 13 13 13 13 13 13 62 62 13,79 84 84 79



















 , ,21 16 16 21 21 18 18 21 21 37 37 21 16 16 16 16 16 18 18 16 37 16 18 16 16 18 18 18 18 18 37 18






 ,33 41 41 33 33 52 52 33 33 56 41 41 41 41 41 52 52 41 41 56 56 41 52 41 41 52 52 52 52 52 52 56 56 52, 



 ,47 44, 
76 77 77 76 76 80 80 76 76 85 85 76 19 76 77 77 77 77 77 80 80 77 77 85 85 77 19 77 80 77 77 80 80 80 80 80 80 85 85 80 19 80 85 77 77 85 85 80 80 85 85 85 85 85 19 85,49 54 54 49, 

34 43, ,51 55 55 51

 ,28 39, 





 ,35 43 43 35 35 21 21 35 35 32 32 35 43 43 43 43 43 21 21 43 43 32 32 43 21 43 43 21 21 21 21 21 21 32 32 21, 






 ,61 75 75 61 61 81 81 61 75 75 75 75 81 75, 



 ,98 110 110 117 117 110 110 126 126 110 110 140 140 110 110 145 145 110 110 160 160 110 110 164 164 110 98 98 98 98 98 117 98 126 98 140 98 145 145 98 98 160 98 164 164 98 98 117 117 117 117 117 117 126 126 117 117 140 140 117 117 145 145 117 117 160 160 117 117 164 164 117 98 126 126 117 117 126 126 126 126 126 126 140 140 126 126 145 145 126 126 160 160 126 126 164 164 126 98 140 140 117 117 140 140 126 126 140 140 140 140 140 140 145 140 160 160 140 140 164 164 140 145 98 98 145 145 117 117 145 145 126 126 145 140 145 145 145 145 145 145 160 160 145 145 164 164 145 98 160 160 117 117 160 160 126 126 160 160 140 140 160 160 145 145 160 160 160 160 160 160 164, 

 ,25 21, 
 ,53 27 27 53,2 6 2 12 2 46 46 2 6 6 6 6 6 12 12 6 6 46 46 6 12 6 6 12 12 12 12 12 12 46 46 12

 ,42 51,59 18 18 59

45 51 51 45 45 18 18 45 51 51 51 51 51 18 18 51, , 
 ,53 44 44 65 65 44 53 53 53 53 53 65, 

 ,46 30 46 39 39 46 30 30 30 30 39 30, 
 ,52 55 55 52, 
 ,7 43, 












 ,58 79 79 58,74 34 34 74 74 36 36 74 74 91 91 74 34 34 34 34 34 36 36 34 34 91 36 34 34 36 36 36 36 36 36 91 91 36

 , ,51 72 72 51 51 75 75 51 51 64 64 51 72 72 72 72 72 75 75 72 72 64 64 72 75 72 72 75 75 75 75 75 75 64 64 75

26 38, , 


 , ,44 45 45 44 44 55 55 44 44 61 61 44 45 45 45 45 45 55 55 45 45 61 61 45 55 45 45 55 55 55 55 55 55 61 61 55


 ,26 32 32 26 26 13 13 26 32 32 32 32 32 13 13 32,18 20 20 18
 ,48 14 14 48, 
 ,1 67 67 1 1 19 19 1 1 74 74 1 67 67 67 67 67 19 19 67 67 74 74 67 19 67 67 19 19 19 19 19 74 19, 
 ,25 3 3 25 25 40 40 25 25 35 35 25 3 3 3 3 3 40 40 3 3 35 35 3 40 3 3 40 40 40 40 40 40 35 35 40, 




 ,43 8 8 43 43 64 64 43 8 8 8 8 8 64 64 8, 



 ,31 38 38 31 31 50 38 38 38 38 38 50 50 38, 
 ,45 48 48 45 45 9 9 45 45 11 11 45 45 63 63 45 45 74 74 45 45 77 77 45 45 82 82 45 48 48 48 48 48 9 9 48 48 11 11 48 48 63 63 48 48 74 74 48 48 77 77 48 48 82 82 48 9 48 48 9 9 9 9 9 9 11 11 9 9 63 63 9 9 74 74 9 9 77 77 9 9 82 82 9 11 48 48 11 11 9 9 11 11 11 11 11 11 63 63 11 11 74 74 11 11 77 77 11 11 82 82 11 63 48 48 63 63 9 9 63 63 11 11 63 63 63 63 63 63 74 74 63 63 77 77 63 63 82 82 63 74 48 48 74 74 9 9 74 74 11 11 74 74 63 63 74 74 74 74 74 74 77 77 74 74 82 82 74 77 48 48 77 77 9 9 77 77 11 11 77 77 63 63 77 77 74 74 77 77 77 77 77 77 82 82 77, 



82 108 108 82 82 113 113 82 82 119 119 82 82 127 127 82 108 108 108 108 108 113 113 108 108 119 119 108 108 127 127 108 113 108 108 113 113 113 113 113 113 119 119 113 113 127 127 113 119 108 108 119 119 113 113 119 119 119 119 119 119 127 127 119,73 5 5 73, 



 , ,52 43



 ,47 52 52 47 47 19 19 47 47 60 60 47 47 26 26 47 52 52 52 52 52 19 19 52 52 60 60 52 52 26 26 52 19 52 52 19 19 19 19 19 19 60 60 19 19 26 26 19 60 52 52 60 60 19 19 60 60 60 60 60 60 26 26 60, 







 , ,55 18 18 55 55 62 62 55 55 25 25 55 55 67 67 55 55 32 32 55 4 55 18 18 18 18 18 62 62 18 18 25 25 18 18 67 67 18 18 32 32 18 18 4 4 18 62 18 18 62 62 62 62 62 62 25 25 62 62 67 67 62 62 32 32 62 4 62 25 18 18 25 25 62 62 25 25 25 25 25 25 67 67 25 25 32 32 25 25 4 4 25 67 18 18 67 67 62 62 67 67 25 25 67 67 67 67 67 67 32 32 67 4 67 32 18 18 32 32 62 62 32 32 25 25 32 32 67 67 32 32 32 32 32 32 4 4 32




37 28, , 









